,Unnamed: 0,parl,id,date,speaker,text,token_count,topic_id,topic_name,topic_representation,topic_probability
439,439,bt,sp19_2475,2019-12-19,Marc Jongen,"Sie nennen die Klimadebatte als ein Beispiel, wo sich Wissenschaftler eindrucksvoll eingemischt und wegweisende Impulse geliefert hätten. Auch Ihr Antrag nennt jetzt wieder den Kampf gegen sogenannte Fake News als einen wichtigen Aspekt der Wissenschaftskommunikation; Herr Kaufmann hat es hier heute wieder unterstrichen. Aber kaum eine Debatte ist doch derart von milliardenschweren Interessen überlagert und Verzerrungen durch politisch interessierte Gruppen ausgesetzt wie die um den menschengemachten Klimawandel. Der Begriff des „Klimaleugners“, der mehr an einen religiösen Häretiker als an einen wissenschaftlich Andersdenkenden erinnert, zeigt das doch in greller Schärfe. Manche wollen den Klimaleugner, der lediglich eine abweichende Theorie zur Rolle des CO",104,2,2_klimawandel_klima_klimawandels_wissenschaftler,"['klimawandel', 'klima', 'klimawandels', 'wissenschaftler', 'menschengemacht', 'erwärmung', 'hypothese', 'natürlich', 'millionen jahren', 'klimakatastrophe']",0.6778712548587537
1356,1507,bt,sp20_14510,2023-04-20, Steffen Kotré,"Betrachten wir die Sache mal soziologisch, sozusagen von oben: Soziologisch gesehen haben wir es mit einem Nihilismus zu tun, mit einer Dekonstruktion. Zwar formuliert es der Minister für Abwirtschaft und Energievermeidung Habeck positiv – er sagt, er möchte das Klima schützen –, doch tatsächlich, wie wir hier sehen, zerstört er mit seinem Handeln. Die Liste der ökosozialistischen Zerstörungswut wird ja auch immer länger: erst die massive Schädigung unserer Stromversorgung und die Zerstörung der Kernkraftwerke, das Außerlandestreiben der energieintensiven Industrie, die Einschränkung des individuellen Autoverkehrs durch teure E-Autos nur für Besserverdiener, die Strangulierung des Mittelstandes, der Austausch von Fachkräften durch kulturfremde Sozialhilfeempfänger, dann Enteignungen und der Heizhammer mit der Zerstörung funktionierender Infrastruktur in der Wärmeversorgung. Mit dem geplanten Gesetzentwurf sollen und werden Hausbesitzer enteignet werden.",124,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
980,1131,bt,sp20_5228,2022-05-19, Dr. Alice Weidel,"Die Ursache der Krise ist aber eine ganz andere, und zwar eine falsche, fehlgeleitete Politik. Die Energiewende hat mit dem gleichzeitigen Ausstieg aus Atomkraft und Kohlenutzung die Energiepreise hochgetrieben und die einseitige Abhängigkeit von russischem Erdgas erst verursacht. Sie saßen da in der Regierung, Kanzler Scholz. Verantwortungslose Schuldenpolitik, verbotene monetäre Staatsfinanzierung und die Nullzinspolitik der EZB, infolgedessen die Abwertung des Euros und dadurch erhöhte Importpreise sind doch die eigentliche Ursache der Inflation. Auch das wurde hier heute nicht erwähnt. Die repressive Coronapolitik und undurchdachte Sanktionen haben Lieferketten zerbrochen und das Angebot verknappt, während die Geldmenge explodiert. Der Verfall des Euros raubt den Bürgern Kaufkraft und Wohlstand. Härtere Klimaziele und der forcierte Ausbau sogenannter erneuerbarer Energien werden uns nicht unabhängiger machen, sondern die Energiekrise sogar noch verschärfen.",126,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
100,100,bt,sp19_552,2018-09-11,Wolfgang Wiehle,"Die großspurige „Verkehrswende“-Zahl von 40 Prozent CO2-Minderung kann genau dazu führen, wenn sie mit der Brechstange durchgesetzt wird. Verkehrsbeschränkungen, drastische Steuererhöhungen, zwangsweiser Umstieg auf E-Autos, ohne dass man weiß, wo der Strom dafür herkommt – all das kann uns passieren, wenn die Ideologen die Oberhand gewinnen.",47,3,3_autoindustrie_synthetische kraftstoffe_elektromobilität_emissionen,"['autoindustrie', 'synthetische kraftstoffe', 'elektromobilität', 'emissionen', 'co2 emissionen', 'sogenannten verkehrswende', 'elektroautos', 'ideologische verkehrswende', 'verbrennungsmotoren', 'fahrzeuge']",0.5989723267017084
1589,1848,bt,sp20_23194,2024-04-26,Dr. Rainer Kraft,"Daraus folgt: Sie haben mit der irrational überhöhten sogenannten Energiewende den Anteil an CO2-freiem Strom nur um 18 Prozentpunkte gesteigert – in 20 Jahren mit Hunderten von Milliarden Euro an Kosten, die die Verbraucher und Stromzahler haben tragen müssen, mit der Vernichtung Tausender Hektar an Forst- und Agrarfläche und einem Strompreis, der sich in dieser Zeit mehr als verdoppelt hat. Das ist keine Erfolgsstory. Das ist Politik mit der Abrissbirne. Um es ganz klar zu sagen: Die Alternative für Deutschland erachtet CO2-Reduktion nicht als Ziel einer deutschen Energiepolitik. Aber Sie alle, von der Union bis zu den Gruppen ganz links außen, lassen keinen Tag vergehen, an dem Sie nicht härtere und teurere Anstrengungen der Nation zur Senkung der CO2-Emissionen fordern. Wir haben also jedes Recht, Sie an Ihrem eigenen Ziel zu messen. Und bei diesem Ihrem ureigenen Ziel versagen Sie. Dazu ein Gedanke.",143,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
1129,1280,bt,sp20_9032,2023-11-16,Steffen Kotré,"Gut 10 Milliarden Euro soll das kosten, natürlich aus einem Schattenhaushalt; das kennen wir ja. Für eine Familie mit zwei Kindern bedeutet das etwa 600 Euro, die die Ampel ihr wegnimmt. Und die weltdümmste Energiepolitik geht noch weiter, meine Damen und Herren. Die Freisetzung von Treibhausgasen über die gesamte Lieferkette ist laut einer ernstzunehmenden Studie bei Flüssiggas höher als bei Kohle. Aber das interessiert Sie, die Sie faktenbefreit operieren, ja leider nicht. Also, meine Damen und Herren: Was ist zu tun? Rückkehr zur Kernenergie! Sonst gibt es keine preiswerte, sichere und umweltschonende Energieversorgung. Das machen zwischenzeitlich auch viele andere Länder so.",101,0,0_deutschland_co2_energiewende_kernenergie,"['deutschland', 'co2', 'energiewende', 'kernenergie', 'gas', 'kernkraftwerke', 'kohlekraftwerke', 'emissionen', 'grüne', 'gigawatt']",1.0
305,305,bt,sp19_1782,2019-09-13,Peter Boehringer,"Statt sich einfach am regulären Kapitalmarkt zinsfrei das Stiftungskapital zu beschaffen, will die GroKo nun hochverzinste Klimaanleihen begeben. Fürs Protokoll also: Söders Klimaanleihe, der Ökoschatzbrief der SPD oder nun eben Altmaiers Klimastiftung – all das sind teure Planwirtschaft, medialer Aktionismus und natürlich auch links-grüner Populismus seitens der Regierung.",48,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
449,449,bt,sp19_2519,2020-01-17,Karsten Hilse,"Blüchel; „Die Klimalüge“ von Wolfgang Burgleitner; „Die erfundene Katastrophe: Ohne CO hat aufgrund seiner langjährigen leitenden Tätigkeiten in verschiedenen Umweltbehörden laut Wikipedia den Eindruck gewonnen – ich zitiere –, „die Warnung vor der Globalen Erwärmung sei ein Mittel, um Klimaforschern Arbeitsplätze, Prestige und Forschungsgelder zu verschaffen“.",51,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
1712,1971,ep,eu10_99,2025-01-20,Anja Arndt,"Das gehört alles in die Klimadebatte. Aber diese Erkenntnisse werden unterdrückt, weil sich die Regierungen an den CO2‑Steuern, Emissionszertifikaten und anderen Dingen bereichern. Dieses Geld wird den Bürgern entzogen und über Subventionen von Windturbinen, Solaranlagen, Wärmepumpen und teilweise dubiosen Klimaprojekten umgelenkt. Hier gibt es viel aufzudecken. Deutschland braucht die AfD …",51,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
1246,1397,bt,sp20_11573,2023-09-06,Tino Chrupalla,"Es geht mittlerweile niemand mehr davon aus – ich bin im Übrigen noch nie davon ausgegangen –, dass die Grünen überhaupt mit Steuergeld umgehen können. Es hat den Grünen schon immer Spaß gemacht, das Geld anderer Leute Gassi zu führen; wir werden von der Politik des Herrn Habeck tagtäglich darin bestätigt. Eine solche wirtschaftsfeindliche Politik hat es in der Bundesrepublik Deutschland noch nie gegeben, meine Damen und Herren. Diese grüne Wirtschaftspolitik funktioniert nur in der gleichfarbigen Blase einer Partei, die daran glaubt, das Klima retten zu können. Das hat einen Preis, der für uns alle unbezahlbar wird. Allein das Heizungsgesetz GEG kostet die Bürger unfassbare 2 500 Milliarden Euro – und das sind Ihre eigenen Zahlen aus der Bundesregierung. Dieses Gesetz braucht kein Mensch. Die Union soll nicht so tun – in Sachsen plakatiert sie „Heizungs-Verbot stoppen!“ –, als ob sie dieses Gesetz auch nicht wöllte.",148,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
1075,1226,bt,sp20_7757,2022-03-17, Steffen Kotré,"Die Taschen füllen sich die Windanlagenbetreiber. Links-grüne Politik unterstützt das mit ihrem Lobbyismus. An dieser Stelle kann ich auch gleich noch mit einer Propagandalüge aufräumen: Die langfristig grüne Inflation ist nicht fossilgetrieben, sondern durch die instabilen erneuerbaren Energien. Das kann man sich an einem einzigen Fakt einfach mal klarmachen: Deutschland hat mit den höchsten Anteil an wettbewerbsunfähigem Wind- und Sonnenstrom und gleichzeitig mit die höchsten Strompreise. Andere Länder, die zum Beispiel Kernenergie nutzen, haben mit die niedrigsten Strompreise. Braunkohleverstromung zum Beispiel kommt ohne Subventionen aus. Die instabilen Erneuerbaren brauchen 1 bis 2 Billionen Euro – ein Fass ohne Boden. Jetzt werden ja nicht mehr nur die Stromkunden geschröpft, sondern auch die Steuerzahler.",112,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
726,877,bt,sp20_28,2022-01-27 00:00:00,Wolfgang Wiehle,"Schon die Verabschiedung eines 2021er-Haus- halts im Jahre 2022 widerspricht dem Verfassungsgrundsatz der Jährlichkeit und dem Haushaltsgrundsatz der Fälligkeit. Die Bereitstellung einer Rücklage für Klimaschutz und Transformation steht in keinerlei Zusammen- hang mit der ins Feld geführten finanziellen Notlage, dieeine Ausnahme von den Regeln der Schuldenbremse erlauben sollte. Die behauptete Notlage ist noch dazu in erster Linie Folge der vielfach unverhältnismäßigen staatlichen Maßnahmen zur Bekämpfung der Pandemie. Es ist falsch, anzunehmen, dass der Staat am besten wüsste, wofür es sich lohnt, Geld auszugeben. Auch die modische Klimaargumentation kann nicht vertuschen, dass Ihre Transformationsprogramme immer tiefer in die Staatswirtschaft führen. Und es ist auch falsch, an- zunehmen, dass die ideologische Klimapolitik der Am- pelkoalition in eine gute Zukunft führen würde.",119,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
596,596,bt,sp19_3613,2020-12-08,Karsten Hilse,"Die Klimakrise existiert zwar nur in den Köpfen einiger Fantasten wie Greta und Co sowie ihrer Stichwortgeber, sogenannter Klimawissenschaftler, der Homöopathen unter den Wissenschaftlern, wie sie der Kabarettist Vince Ebert mal so treffend bezeichnete. Direkt und indirekt sollen fast 27 Milliarden Euro für die Klimarettung ausgegeben werden, knapp 11 Milliarden Euro für die Übernahme eines Teils der Förderung für das untaugliche EEG und weitere knapp 16 Milliarden Euro, die in den verschiedenen Ressortplänen versteckt sind, plus 2,7 Milliarden Euro beim BMZ, um Klimaschutz und Klimaneutralität zu erreichen. Dabei ist jedem Menschen, der klar im Kopf ist, weil er keine ideologische Brille trägt, bewusst, dass all diese Klimamaßnahmen dem Klima nichts nützen.",111,2,2_klimawandel_klima_klimawandels_wissenschaftler,"['klimawandel', 'klima', 'klimawandels', 'wissenschaftler', 'menschengemacht', 'erwärmung', 'hypothese', 'natürlich', 'millionen jahren', 'klimakatastrophe']",0.8250300818140982
623,623,bt,sp19_3829,2021-02-11,Karsten Hilse,"Exemplarisch dafür steht, neben anderen Feldern, die Klimawissenschaft. Nur: Deren Einflussnahme geschieht nicht ganz so plump wie die des Innenministeriums, sie ist eigentlich noch schlimmer; denn vielfach dienen sich als Wissenschaftler getarnte Aktivisten den Politikern regelrecht an, zum Beispiel Steven Schneider, von dem der berühmte Ausspruch stammt – ich zitiere mit Ihrer Genehmigung, Frau Präsidentin –: Besondere Beispiele dafür sind die diversen Klima- und Umweltinstitute, die nach der IPCC-Gründung wie Pilze aus dem Boden schossen, zum Beispiel das Potsdam-Institut für Klimafolgenforschung, kurz: PIK, dem staatliche Mittel in reicher Zahl zugeschanzt wurden. Sein Gründungsdirektor Professor Schellnhuber erkannte die Zeichen der Zeit und berät seitdem nicht nur die Bundeskanzlerin, sondern auch Ministerien und Gremien, nationale wie internationale, jetzt sogar den Papst.",119,2,2_klimawandel_klima_klimawandels_wissenschaftler,"['klimawandel', 'klima', 'klimawandels', 'wissenschaftler', 'menschengemacht', 'erwärmung', 'hypothese', 'natürlich', 'millionen jahren', 'klimakatastrophe']",0.7163593065808987
352,352,bt,sp19_2021,2019-10-25,Heiko Wildberg,"Herr Präsident! Meine Damen und Herren! Bei dem vorliegenden Entwurf eines Klimaschutzgesetzes geht es um nicht weniger als die Rettung des Weltklimas oder zumindest einen bedeutenden Beitrag dazu – angeblich. Tatsächlich aber ist dieser Gesetzentwurf ein Verbots- und Steuererhöhungsprogramm, wie man es seit den Zeiten des mittelalterlichen Ablasshandels nicht mehr gesehen hat. Als Geowissenschaftler möchte ich ausdrücklich darauf hinweisen, dass die wissenschaftliche Basis dieses Gesetzentwurfes wie auch des gesamten Klimapaketes mehr als dürftig ist. Nehmen wir zum Beispiel die Klimamodelle des Weltklimarates. Diese sind nicht einmal ansatzweise in der Lage, die Klimaentwicklung nachzuvollziehen, weder die der vergangenen Jahrzehnte mit den bekannten Klimafolgen noch die der letzten zehntausend Jahre. Wie können sie dann für die Zukunft gelten?",116,0,0_deutschland_co2_energiewende_kernenergie,"['deutschland', 'co2', 'energiewende', 'kernenergie', 'gas', 'kernkraftwerke', 'kohlekraftwerke', 'emissionen', 'grüne', 'gigawatt']",0.5495876153241942
68,68,bt,sp19_372,2018-06-13,Karsten Hilse,"Der Klimaschutzbericht zeigt, dass die sogenannten Klimaschutzziele weit verfehlt werden. Die CO 2 -Emissionen bleiben seit 2008 in einem Schwankungsbereich von circa plus/minus 2,3 Prozent etwa gleich. Im selben Zeitraum haben wir aber eine Erhöhung der Stromkosten um 50 Prozent für den Endverbraucher erlebt. Wir wissen alle, dass sich, wenn wir der Ideologie – das tun Sie ja – des IPCC folgen und komplett auf fossile Brennstoffe verzichten würden, die wie auch immer geartete Erdmitteltemperatur um 0,00065 Grad Celsius verringern würde. Wie erklären Sie den Abgabepflichtigen, dass sie für diesen wahnwitzig geringen Wert eine Erhöhung ihrer Stromkosten um 50 Prozent, eine Verspargelung ihrer Kulturlandschaften und Gesundheitsschäden durch In­fraschall in der Nähe von Windkraftanlagen akzeptieren müssen?",116,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
150,150,bt,sp19_790,2018-11-09,Steffen Kotré,"Ab 40 bis 50 Prozent erneuerbarer Zappelstrom wird der Netzzusammenbruch wahrscheinlicher. Wir können das leider in Südaustralien sehen. Dort ist es schon Realität geworden. Die Blackouts kann man dort beobachten. Hinzu kommt, dass die deutsche Energiewende völlig sinnlos ist. Wir sparen kein Gramm CO 2 ein. Mit der AfD wird es keinen weiteren Ausbau der erneuerbaren Energien geben. Wir stehen zu unserer Braunkohle, unserem heimischen marktfähigen Energieträger. Weltweit sind 1 600 Kohlekraftwerke in Bau und in Planung. Also, so schlecht kann die Kohle nicht sein. Wenn wir an die Kosten für die Energiewende denken – 1 Billion Euro –: Was könnten wir mit diesen Mitteln machen? Wir könnten Alters- und Kinderarmut abstellen. Wir könnten unser Bildungssystem sanieren. Wir könnten die Familien fördern. Das wäre sinnvoll, aber nicht die Energiewende.",129,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
